ANO_ENTREGA;COMUNA;DIRECCION;ESTADO;FECHA_ENTR;FECHA_PUBLICACION;INMOBILIARIA;MODALIDAD;N_BANOS;N_DORMITORIOS;MONEDA;REGION;TIPO;PRECIO_DESPLIEGUE;UF;UF_DESDE;UF_HASTA;M2_TOTALES;M2_CONSTRUIDOS;M2_DESDE;M2_HASTA
;ALTO HOSPICIO;CALLE DOS 3276;USADA;;26-04-2019;;ARRIENDO;1;3;UF;I;CASAS;UF 9,00;9,00;;;70;65;;
;IQUIQUE;PRESIDENTE ERRAZURIZ / ORELLA;USADA;;09-05-2019;;ARRIENDO;1;3;UF;I;CASAS;UF 12,99;12,99;;;60;55;;
;IQUIQUE;PLAYA BLANCA 2515;USADA;;07-06-2019;;ARRIENDO;3;2;UF;I;CASAS;UF 16,20;16,20;;;90;190;;
;IQUIQUE;CASA PASAJE VINA DEL MAR;USADA;;07-06-2019;;ARRIENDO;3;4;UF;I;CASAS;UF 18,00;18,00;;;200;143;;
;POZO ALMONTE;CASA POZO ALMONTE 01;USADA;;03-05-2019;;ARRIENDO;2;5;UF;I;CASAS;UF 19,87;19,87;;;198;198;;
;IQUIQUE;PASAJE CUATRO 3754;USADA;;27-05-2019;;ARRIENDO;2;3;UF;I;CASAS;UF 20,00;20,00;;;86;120;;
;IQUIQUE;TORONTO - CONJUNTO CERRO COLORADO;USADA;;07-06-2019;;ARRIENDO;2;3;UF;I;CASAS;UF 23,36;23,36;;;180;137;;
;IQUIQUE;LOS CHUNCHOS 3485;USADA;;29-05-2019;;ARRIENDO;3;4;UF;I;CASAS;UF 25,94;25,94;;;150;150;;
;IQUIQUE;ORELLA;USADA;;05-06-2019;;ARRIENDO;1;3;UF;I;CASAS;UF 30,54;30,54;;;150;150;;
;IQUIQUE;CONDOMINIO MARES DEL SUR - EXTERIOR;USADA;;17-04-2019;;ARRIENDO;4;5;UF;I;CASAS;UF 32,61;32,61;;;270;169;;
;IQUIQUE;PLAYA PATILLOS 3216;USADA;;18-03-2019;;ARRIENDO;3;4;UF;I;CASAS;UF 39,90;39,90;;;220;130;;
;IQUIQUE;CONDOMINIO PORTOBELO PADRE HURTADO 2179 - CASA 9;USADA;;08-02-2019;;ARRIENDO;4;4;UF;I;CASAS;UF 39,94;39,94;;;200;147;;
